selection_rank,split,size_band,episode_path,top_level_session,episode_id,annotation_human,training_human,annotation_bytes,training_bytes_excluding_visualization_rrd,has_visualization_rrd,selection_score
1,test,short,8a8e1b3c-607e-4ada-b3fd-fa639727e92c/ep1,8a8e1b3c-607e-4ada-b3fd-fa639727e92c,ep1,1.58 GiB,2.07 GiB,1692922632,2220826383,False,0.0168743
2,train,short,27c9fc42-2bb4-4737-b09c-08d2dd88aed4/ep4,27c9fc42-2bb4-4737-b09c-08d2dd88aed4,ep4,1.58 GiB,2.06 GiB,1692213048,2215296867,False,0.01853652
3,train,short,363abff7-e5ce-425e-a85c-5397186aefd2/ep3,363abff7-e5ce-425e-a85c-5397186aefd2,ep3,1.57 GiB,2.06 GiB,1689936188,2212544693,False,0.01988375
4,train,short,0e4f59cc-c232-4ad0-9d0c-fed6e026422a/ep3,0e4f59cc-c232-4ad0-9d0c-fed6e026422a,ep3,1.57 GiB,2.08 GiB,1686278728,2233434022,False,0.02007735
5,train,short,705435da-879d-456e-a28e-f15f86e75027/ep3,705435da-879d-456e-a28e-f15f86e75027,ep3,1.58 GiB,2.04 GiB,1694263288,2190558798,False,0.02126736
6,train,short,65adf646-cb23-430e-9583-12482dd451a1/ep8,65adf646-cb23-430e-9583-12482dd451a1,ep8,1.58 GiB,2.04 GiB,1692898400,2191724036,False,0.02161242
7,train,short,0474d134-f983-4590-9cf9-29bd1c6e33cb/ep3,0474d134-f983-4590-9cf9-29bd1c6e33cb,ep3,1.57 GiB,2.09 GiB,1682258880,2238843545,False,0.02162206
8,test,short,33f7ae08-ac1d-4321-9cb9-eca79016b359/ep1,33f7ae08-ac1d-4321-9cb9-eca79016b359,ep1,1.58 GiB,2.03 GiB,1695175580,2178429798,False,0.02247304
9,test,short,34f07a04-eb37-45a3-95ec-189ed5f4a85b/ep5,34f07a04-eb37-45a3-95ec-189ed5f4a85b,ep5,1.58 GiB,2.05 GiB,1697525816,2203402325,False,0.02249368
10,val,short,2f579b88-12fb-41c2-aa2a-9b8f5ae8f918/ep1,2f579b88-12fb-41c2-aa2a-9b8f5ae8f918,ep1,1.58 GiB,2.05 GiB,1699834356,2198942634,False,0.02252887
11,train,short,0ffa6540-b99f-4909-9f80-c1b3e4c14a85/ep6,0ffa6540-b99f-4909-9f80-c1b3e4c14a85,ep6,1.57 GiB,2.06 GiB,1688274456,2206993440,False,0.02276091
12,train,short,c5e31792-0961-463c-bfb4-ff89030c2ac8/ep1,c5e31792-0961-463c-bfb4-ff89030c2ac8,ep1,1.59 GiB,2.10 GiB,1711092828,2258479672,False,0.02287723
13,train,short,6dc018a4-0614-478c-9332-86bd6c4af9e8/ep2,6dc018a4-0614-478c-9332-86bd6c4af9e8,ep2,1.59 GiB,2.08 GiB,1705236060,2230296590,False,0.02316309
14,train,short,c09b25c6-218c-4e06-95ff-d63eccf20f2b/ep8,c09b25c6-218c-4e06-95ff-d63eccf20f2b,ep8,1.58 GiB,2.07 GiB,1700863160,2222145094,False,0.02336672
15,train,short,0d330006-684f-4e93-bf38-06d53be3fe5f/ep3,0d330006-684f-4e93-bf38-06d53be3fe5f,ep3,1.58 GiB,2.05 GiB,1700228808,2198320817,False,0.02392015
16,test,short,cba9c19e-a55f-46e8-bda8-423cdcc2de5f/ep1,cba9c19e-a55f-46e8-bda8-423cdcc2de5f,ep1,1.59 GiB,2.06 GiB,1704207792,2207730397,False,0.02403295
17,train,short,322958e6-2d26-40d7-af3d-cb16362c78f7/ep2,322958e6-2d26-40d7-af3d-cb16362c78f7,ep2,1.60 GiB,2.10 GiB,1713121844,2258882875,False,0.02431338
18,val,short,7f443115-54a4-4d50-acfb-e05fe506c270/ep5,7f443115-54a4-4d50-acfb-e05fe506c270,ep5,1.58 GiB,2.06 GiB,1701878284,2207224952,False,0.02445194
19,train,short,af8e9345-011f-4c97-a78e-ecb4a268220f/ep4,af8e9345-011f-4c97-a78e-ecb4a268220f,ep4,1.57 GiB,2.04 GiB,1687061400,2191905595,False,0.02445481
20,train,short,7f723cf6-13a4-451d-96bf-d37cbb3f84f3/ep9,7f723cf6-13a4-451d-96bf-d37cbb3f84f3,ep9,1.57 GiB,2.05 GiB,1686618372,2201845958,False,0.0245621
21,val,short,3ebbfff2-3a60-4cf4-af98-9db074a46e73/ep11,3ebbfff2-3a60-4cf4-af98-9db074a46e73,ep11,1.57 GiB,2.04 GiB,1688702932,2194932059,False,0.02493936
22,train,short,90fe845b-df65-4297-838c-7924d4c3b6ad/ep9,90fe845b-df65-4297-838c-7924d4c3b6ad,ep9,1.57 GiB,2.03 GiB,1690513852,2181432621,False,0.02519393
23,train,short,638630bb-caf0-4367-a990-7a3d02dd395a/ep2,638630bb-caf0-4367-a990-7a3d02dd395a,ep2,1.57 GiB,2.05 GiB,1682926752,2195916974,False,0.02529752
24,train,short,17eea990-0d39-4cc8-a7c8-03fd56b4bf04/ep10,17eea990-0d39-4cc8-a7c8-03fd56b4bf04,ep10,1.57 GiB,2.05 GiB,1687161140,2199860564,False,0.02542125
25,train,short,81d4c5c5-b164-419c-86e0-c26347284f83/ep9,81d4c5c5-b164-419c-86e0-c26347284f83,ep9,1.58 GiB,2.05 GiB,1701234708,2199961042,False,0.02579083
26,train,short,85a956ae-65c6-4d11-9e7f-720d6d71ae5b/ep5,85a956ae-65c6-4d11-9e7f-720d6d71ae5b,ep5,1.58 GiB,2.03 GiB,1700584268,2179220839,False,0.02625212
27,train,short,4b7cc33d-56cf-4029-bda8-f154bd146447/ep5,4b7cc33d-56cf-4029-bda8-f154bd146447,ep5,1.60 GiB,2.13 GiB,1718740864,2284163663,False,0.0266328
28,val,short,5d994eb3-bc12-46dd-8984-da2d5f1a7055/ep9,5d994eb3-bc12-46dd-8984-da2d5f1a7055,ep9,1.57 GiB,2.03 GiB,1688462140,2177870595,False,0.02669922
29,train,short,9dc8fc7c-977f-444a-9331-06d2dd7bf120/ep2,9dc8fc7c-977f-444a-9331-06d2dd7bf120,ep2,1.60 GiB,2.12 GiB,1719702876,2272168553,False,0.02685785
30,train,short,59d0d93f-55c9-4a55-8cd4-e570cc0499d6/ep4,59d0d93f-55c9-4a55-8cd4-e570cc0499d6,ep4,1.59 GiB,2.05 GiB,1704840016,2197860946,False,0.02689026
31,train,short,acb1b145-804e-41fe-915e-16ff7f59433a/ep7,acb1b145-804e-41fe-915e-16ff7f59433a,ep7,1.57 GiB,2.00 GiB,1690989056,2147820034,False,0.02703099
32,train,short,0da1f6d2-6564-4f28-b248-1d1b71f9521b/ep1,0da1f6d2-6564-4f28-b248-1d1b71f9521b,ep1,1.56 GiB,2.04 GiB,1679345356,2194155137,True,0.02729302
33,train,lower_mid,994e4c6c-660a-49f2-90a7-3ebbbb55eb9b/ep2,994e4c6c-660a-49f2-90a7-3ebbbb55eb9b,ep2,1.81 GiB,2.20 GiB,1942653204,2362652603,False,0.00185433
34,train,lower_mid,53ccaadb-44df-4ddf-bc40-c1bcedb92faa/ep7,53ccaadb-44df-4ddf-bc40-c1bcedb92faa,ep7,1.81 GiB,2.21 GiB,1941724552,2370297326,False,0.00248427
35,train,lower_mid,d5520c73-fa72-4e92-ad2a-4c3e48d8ad7c/ep6,d5520c73-fa72-4e92-ad2a-4c3e48d8ad7c,ep6,1.81 GiB,2.21 GiB,1941988076,2373419162,False,0.00248503
36,val,lower_mid,53f2c164-09dd-48ca-ae69-4f5955a902ed/ep4,53f2c164-09dd-48ca-ae69-4f5955a902ed,ep4,1.81 GiB,2.20 GiB,1941348324,2366501574,False,0.00250071
37,train,lower_mid,a00c1d99-de08-42bc-8623-712b9dde7fde/ep3,a00c1d99-de08-42bc-8623-712b9dde7fde,ep3,1.81 GiB,2.21 GiB,1940612164,2370379355,False,0.00259573
38,val,lower_mid,d342e6e2-c381-4a1c-b0ac-e62a5c80624f/ep3,d342e6e2-c381-4a1c-b0ac-e62a5c80624f,ep3,1.81 GiB,2.22 GiB,1941941580,2380309709,False,0.00276839
39,test,lower_mid,46f7dea3-76bd-4de4-a0fe-56c0c1e1a276/ep3,46f7dea3-76bd-4de4-a0fe-56c0c1e1a276,ep3,1.81 GiB,2.19 GiB,1941899132,2356751349,False,0.00297404
40,train,lower_mid,adb1bb6f-6df3-4f46-b895-f045ac3e0772/ep2,adb1bb6f-6df3-4f46-b895-f045ac3e0772,ep2,1.81 GiB,2.20 GiB,1943209388,2357681735,False,0.00298093
41,test,lower_mid,5399ef86-4df9-49bc-809f-8f4f92f9e659/ep6,5399ef86-4df9-49bc-809f-8f4f92f9e659,ep6,1.81 GiB,2.21 GiB,1941223988,2372639643,False,0.0032859
42,train,lower_mid,5aeb0920-ab9f-4dc2-a261-747a678bf9cb/ep2,5aeb0920-ab9f-4dc2-a261-747a678bf9cb,ep2,1.80 GiB,2.21 GiB,1937449580,2369327064,False,0.00330289
43,test,lower_mid,877779cd-25f3-4293-a3c4-39067dd9558c/ep4,877779cd-25f3-4293-a3c4-39067dd9558c,ep4,1.81 GiB,2.21 GiB,1938930176,2368478759,False,0.00336242
44,train,lower_mid,9f84a0a7-8964-48c5-b7e1-8a1d28094c86/ep2,9f84a0a7-8964-48c5-b7e1-8a1d28094c86,ep2,1.81 GiB,2.22 GiB,1940541892,2384293317,False,0.00352063
45,train,lower_mid,84106bb9-1cf8-47b6-8d11-fddbfe381e4f/ep5,84106bb9-1cf8-47b6-8d11-fddbfe381e4f,ep5,1.81 GiB,2.21 GiB,1940012900,2377037440,False,0.00354971
46,test,lower_mid,ba18b7c1-21ff-45da-8452-41acce7fc8de/ep2,ba18b7c1-21ff-45da-8452-41acce7fc8de,ep2,1.81 GiB,2.20 GiB,1946202432,2364673381,False,0.00356755
47,train,lower_mid,6fbdecec-d4d5-477a-b94b-2486adb0dbd8/ep6,6fbdecec-d4d5-477a-b94b-2486adb0dbd8,ep6,1.81 GiB,2.22 GiB,1941323844,2383647150,False,0.00372522
48,train,lower_mid,c5e5183a-9eca-448a-9ec1-a0a40682b81a/ep4,c5e5183a-9eca-448a-9ec1-a0a40682b81a,ep4,1.81 GiB,2.21 GiB,1945464636,2376527573,False,0.00376342
49,train,lower_mid,003dcaf0-edba-4787-ada0-187d2748f684/ep1,003dcaf0-edba-4787-ada0-187d2748f684,ep1,1.81 GiB,2.23 GiB,1943666280,2391307737,False,0.00383016
50,train,lower_mid,55f345d5-aa45-4d75-829b-a6ec41dca2ed/ep7,55f345d5-aa45-4d75-829b-a6ec41dca2ed,ep7,1.81 GiB,2.20 GiB,1942904384,2366524153,False,0.00394459
51,train,lower_mid,5e221284-f4af-4408-9177-25200282b6de/ep4,5e221284-f4af-4408-9177-25200282b6de,ep4,1.81 GiB,2.19 GiB,1941568560,2349841955,False,0.00397446
52,train,lower_mid,676c3db3-464e-406a-be9f-8283518e8181/ep4,676c3db3-464e-406a-be9f-8283518e8181,ep4,1.81 GiB,2.21 GiB,1945942660,2368716864,False,0.00400177
53,train,lower_mid,46b507a1-b1cb-4851-8558-9435de4abf68/ep2,46b507a1-b1cb-4851-8558-9435de4abf68,ep2,1.81 GiB,2.21 GiB,1947558424,2373393269,False,0.00400855
54,val,lower_mid,3cd70c8e-4ef5-481c-aa61-88b0dd4dec1f/ep4,3cd70c8e-4ef5-481c-aa61-88b0dd4dec1f,ep4,1.81 GiB,2.20 GiB,1938699044,2363791408,True,0.00407752
55,train,lower_mid,aa3ca3ec-56fd-4bbd-ad15-055eabc1838a/ep7,aa3ca3ec-56fd-4bbd-ad15-055eabc1838a,ep7,1.81 GiB,2.21 GiB,1943189644,2376888815,False,0.00414048
56,train,lower_mid,82c95b73-ba14-4083-8929-ddeb85d22e9f/ep3,82c95b73-ba14-4083-8929-ddeb85d22e9f,ep3,1.81 GiB,2.18 GiB,1942621076,2343431906,False,0.00414466
57,train,lower_mid,8533707e-d7e0-4d1a-99d1-fa154a8e62ad/ep5,8533707e-d7e0-4d1a-99d1-fa154a8e62ad,ep5,1.81 GiB,2.19 GiB,1941951276,2347121677,False,0.00418534
58,train,lower_mid,81e9362f-fd63-4aec-92fa-1f489d6ac025/ep2,81e9362f-fd63-4aec-92fa-1f489d6ac025,ep2,1.81 GiB,2.19 GiB,1938830460,2353483140,False,0.00423431
59,train,lower_mid,cd364707-88fc-43bd-a95b-61aee9f8bd20/ep5,cd364707-88fc-43bd-a95b-61aee9f8bd20,ep5,1.81 GiB,2.20 GiB,1942997976,2357334318,False,0.00436259
60,val,lower_mid,c038defe-faa6-4fe9-aef6-84bd93726d1c/ep2,c038defe-faa6-4fe9-aef6-84bd93726d1c,ep2,1.81 GiB,2.18 GiB,1942665068,2341438270,False,0.00437939
61,train,lower_mid,999100c1-b488-4ed1-a580-c0487f308e5d/ep5,999100c1-b488-4ed1-a580-c0487f308e5d,ep5,1.81 GiB,2.19 GiB,1942240680,2346530807,False,0.00456347
62,train,lower_mid,bf622eaf-363e-40c4-8a04-1dfedd85a718/ep10,bf622eaf-363e-40c4-8a04-1dfedd85a718,ep10,1.81 GiB,2.21 GiB,1940552780,2370820558,False,0.00460553
63,train,lower_mid,a3e06450-50f8-4894-a22f-1f891fad3809/ep7,a3e06450-50f8-4894-a22f-1f891fad3809,ep7,1.81 GiB,2.23 GiB,1942358600,2391494696,False,0.00471311
64,train,lower_mid,04d9f378-2812-4c7f-a269-1ad0bc43445f/ep4,04d9f378-2812-4c7f-a269-1ad0bc43445f,ep4,1.81 GiB,2.19 GiB,1939004344,2353759521,False,0.00473298
65,test,upper_mid,a1012a57-385e-45a9-8a59-694a26fe92a5/ep1,a1012a57-385e-45a9-8a59-694a26fe92a5,ep1,1.84 GiB,2.21 GiB,1973167444,2373049631,False,0.00065677
66,train,upper_mid,41e90813-8fff-4053-94f0-9537b1393bc2/ep1,41e90813-8fff-4053-94f0-9537b1393bc2,ep1,1.84 GiB,2.21 GiB,1972856680,2370490692,False,0.00077283
67,train,upper_mid,bc53027e-d29a-473f-8f18-7b524b801e40/ep2,bc53027e-d29a-473f-8f18-7b524b801e40,ep2,1.84 GiB,2.21 GiB,1972811888,2371693205,False,0.00106675
68,train,upper_mid,727f582a-fe2a-45c3-b506-216133a28c35/ep1,727f582a-fe2a-45c3-b506-216133a28c35,ep1,1.84 GiB,2.21 GiB,1973459728,2370046733,False,0.00107543
69,test,upper_mid,9c553886-83c5-4dc4-be5c-dcb269b3a771/ep2,9c553886-83c5-4dc4-be5c-dcb269b3a771,ep2,1.84 GiB,2.20 GiB,1973095532,2367490162,False,0.00129493
70,train,upper_mid,b1292f20-bfca-497b-a41a-e7fd62bbf913/ep2,b1292f20-bfca-497b-a41a-e7fd62bbf913,ep2,1.84 GiB,2.21 GiB,1972779488,2372181505,False,0.00132551
71,train,upper_mid,b49d8a3c-7a1e-4ca3-8ce8-ae1cce0df001/ep2,b49d8a3c-7a1e-4ca3-8ce8-ae1cce0df001,ep2,1.84 GiB,2.21 GiB,1973103660,2372050429,False,0.00139624
72,train,upper_mid,8692d5eb-19b2-4c49-9f88-da2ec373796e/ep3,8692d5eb-19b2-4c49-9f88-da2ec373796e,ep3,1.84 GiB,2.21 GiB,1972741192,2368031571,False,0.00164927
73,train,upper_mid,54bf2b92-a5f8-440c-81fe-8f820bb90aab/ep3,54bf2b92-a5f8-440c-81fe-8f820bb90aab,ep3,1.84 GiB,2.20 GiB,1973088196,2366392177,False,0.00168738
74,train,upper_mid,3eb8ef88-902d-4e84-8a72-a361c9d18647/ep3,3eb8ef88-902d-4e84-8a72-a361c9d18647,ep3,1.84 GiB,2.20 GiB,1973472960,2365619914,False,0.00170045
75,train,upper_mid,2aee3428-f462-49e6-95c4-b803c1803e0b/ep3,2aee3428-f462-49e6-95c4-b803c1803e0b,ep3,1.84 GiB,2.21 GiB,1972400252,2374120001,False,0.00173083
76,train,upper_mid,40611d4c-a36d-4ae3-8a71-da94b81cdce4/ep2,40611d4c-a36d-4ae3-8a71-da94b81cdce4,ep2,1.84 GiB,2.21 GiB,1973489504,2378282476,False,0.00173263
77,train,upper_mid,832369c5-8fca-4591-940a-7a7a28206de2/ep4,832369c5-8fca-4591-940a-7a7a28206de2,ep4,1.84 GiB,2.21 GiB,1972751704,2370595704,False,0.00180383
78,train,upper_mid,34353740-0ce5-4b2f-9394-f9fd9a19b8fe/ep3,34353740-0ce5-4b2f-9394-f9fd9a19b8fe,ep3,1.84 GiB,2.20 GiB,1973393888,2366120890,False,0.00181177
79,val,upper_mid,4e3da960-c06f-4b2c-996d-fe6f04fa4e36/ep2,4e3da960-c06f-4b2c-996d-fe6f04fa4e36,ep2,1.84 GiB,2.20 GiB,1973171028,2363928444,False,0.00182852
80,train,upper_mid,2a433534-63d5-48ad-b75e-a5607087b5df/ep2,2a433534-63d5-48ad-b75e-a5607087b5df,ep2,1.84 GiB,2.20 GiB,1973438696,2360403950,False,0.00182928
81,train,upper_mid,480cb308-6ad0-4791-8bb6-f029f439548a/ep5,480cb308-6ad0-4791-8bb6-f029f439548a,ep5,1.84 GiB,2.21 GiB,1973432112,2369690621,False,0.00183373
82,train,upper_mid,613e0f29-cc10-4d0c-b0ce-e39fe9c8a6b9/ep2,613e0f29-cc10-4d0c-b0ce-e39fe9c8a6b9,ep2,1.84 GiB,2.21 GiB,1973400184,2374898708,False,0.00189528
83,train,upper_mid,3efd6a52-1457-4437-a3bf-9d5894614fe6/ep4,3efd6a52-1457-4437-a3bf-9d5894614fe6,ep4,1.84 GiB,2.21 GiB,1972496124,2370572574,False,0.00193615
84,train,upper_mid,17901b9e-7d5d-475a-86f8-b4a9bc9a5709/ep2,17901b9e-7d5d-475a-86f8-b4a9bc9a5709,ep2,1.84 GiB,2.20 GiB,1973423120,2361379626,False,0.00193744
85,val,upper_mid,628d6ea4-0a63-4d8f-9725-1e41d2a56b8c/ep5,628d6ea4-0a63-4d8f-9725-1e41d2a56b8c,ep5,1.84 GiB,2.21 GiB,1973004896,2373425438,False,0.00196873
86,train,upper_mid,960e7265-e8f2-4bca-9c21-501e2c250ce8/ep2,960e7265-e8f2-4bca-9c21-501e2c250ce8,ep2,1.84 GiB,2.21 GiB,1973769708,2373277315,False,0.00199583
87,val,upper_mid,70a56200-9f80-4f13-8adb-33c0f931e1de/ep2,70a56200-9f80-4f13-8adb-33c0f931e1de,ep2,1.84 GiB,2.22 GiB,1973135604,2379117413,False,0.00209202
88,train,upper_mid,833144f1-bd03-4b93-bdc7-3d2e46aedcf1/ep2,833144f1-bd03-4b93-bdc7-3d2e46aedcf1,ep2,1.84 GiB,2.21 GiB,1973787260,2376248913,False,0.00210965
89,val,upper_mid,573a5795-03bf-4f16-b4ce-bc09c2c56476/ep3,573a5795-03bf-4f16-b4ce-bc09c2c56476,ep3,1.84 GiB,2.20 GiB,1973069188,2367214820,False,0.00211846
90,test,upper_mid,b9dd769b-e31a-4fdb-945e-5a60db6487b0/ep2,b9dd769b-e31a-4fdb-945e-5a60db6487b0,ep2,1.84 GiB,2.21 GiB,1972447060,2369200324,False,0.00212378
91,train,upper_mid,c304368b-3b2c-46fc-8a19-c1de1e13dc75/ep4,c304368b-3b2c-46fc-8a19-c1de1e13dc75,ep4,1.84 GiB,2.20 GiB,1973473820,2364510520,False,0.00218545
92,test,upper_mid,ba045ed4-ef25-404d-b756-8dcbd45b18fa/ep2,ba045ed4-ef25-404d-b756-8dcbd45b18fa,ep2,1.84 GiB,2.21 GiB,1972771328,2376145891,False,0.0022233
93,train,upper_mid,2651c600-a427-42a5-bdc9-6e8ab74356eb/ep5,2651c600-a427-42a5-bdc9-6e8ab74356eb,ep5,1.84 GiB,2.21 GiB,1973448776,2370303034,False,0.00222695
94,train,upper_mid,dab5e5d1-9d11-43ad-ac6f-205500ff5ad4/ep5,dab5e5d1-9d11-43ad-ac6f-205500ff5ad4,ep5,1.84 GiB,2.21 GiB,1972748528,2374102343,False,0.00230824
95,train,upper_mid,a2f2e433-d2c6-4ae1-80b9-c775a8428aa8/ep2,a2f2e433-d2c6-4ae1-80b9-c775a8428aa8,ep2,1.84 GiB,2.20 GiB,1972763528,2364414703,False,0.00234163
96,train,upper_mid,2f918260-6ba7-4132-8069-7972afedc1cf/ep3,2f918260-6ba7-4132-8069-7972afedc1cf,ep3,1.84 GiB,2.20 GiB,1973084988,2362737608,False,0.00234955
97,test,long,4b02bb38-384a-438a-b5f9-6131d85c34b0/ep1,4b02bb38-384a-438a-b5f9-6131d85c34b0,ep1,1.85 GiB,2.21 GiB,1990012504,2371409116,False,0.00077761
98,train,long,13ca0290-713b-43a8-a06c-305bde0cbf6c/ep2,13ca0290-713b-43a8-a06c-305bde0cbf6c,ep2,1.85 GiB,2.21 GiB,1990040016,2371822099,True,0.00087842
99,train,long,0a5009c4-292b-40c6-b9ec-7c75cf54a112/ep1,0a5009c4-292b-40c6-b9ec-7c75cf54a112,ep1,1.85 GiB,2.21 GiB,1990088312,2373390647,False,0.00088678
100,test,long,b750fab3-7fbb-43a0-b451-c64c4d4a64da/ep1,b750fab3-7fbb-43a0-b451-c64c4d4a64da,ep1,1.85 GiB,2.21 GiB,1990096752,2373451302,False,0.00093735
101,val,long,9c7b2c19-5370-4a81-af68-6b76723f3c67/ep1,9c7b2c19-5370-4a81-af68-6b76723f3c67,ep1,1.85 GiB,2.21 GiB,1989981160,2373822452,False,0.00095494
102,train,long,a39eaab1-ac8c-4c2d-9764-a566b773136e/ep2,a39eaab1-ac8c-4c2d-9764-a566b773136e,ep2,1.85 GiB,2.21 GiB,1990156336,2369630704,False,0.00110013
103,train,long,53e64c93-8947-403e-ab35-3428c431aee8/ep2,53e64c93-8947-403e-ab35-3428c431aee8,ep2,1.85 GiB,2.21 GiB,1990008712,2370862777,False,0.00115728
104,train,long,7ba21b77-14c9-47c5-8942-ef2ef5e02784/ep3,7ba21b77-14c9-47c5-8942-ef2ef5e02784,ep3,1.85 GiB,2.21 GiB,1989995224,2368912779,False,0.00117148
105,train,long,d377bbb4-1bce-43ae-a41f-cefd23b8a8a2/ep2,d377bbb4-1bce-43ae-a41f-cefd23b8a8a2,ep2,1.85 GiB,2.21 GiB,1990012048,2373424025,False,0.00126935
106,train,long,c221c115-7b98-4d08-b5ab-653b5956c811/ep3,c221c115-7b98-4d08-b5ab-653b5956c811,ep3,1.85 GiB,2.21 GiB,1989993400,2369721796,False,0.00129683
107,train,long,a90b8b61-cbba-40fa-948c-b3da79fec1cb/ep1,a90b8b61-cbba-40fa-948c-b3da79fec1cb,ep1,1.85 GiB,2.22 GiB,1990079936,2379881614,False,0.00130509
108,train,long,7258c332-1061-4c43-8242-f438d951db1f/ep1,7258c332-1061-4c43-8242-f438d951db1f,ep1,1.85 GiB,2.21 GiB,1990054400,2377373319,False,0.00135654
109,train,long,22af1ff1-eaa9-4268-b96a-81a9fa35fe93/ep3,22af1ff1-eaa9-4268-b96a-81a9fa35fe93,ep3,1.85 GiB,2.20 GiB,1990011096,2367447286,True,0.00137323
110,train,long,2680606b-f296-4daa-baf9-7d58c90444bc/ep2,2680606b-f296-4daa-baf9-7d58c90444bc,ep2,1.85 GiB,2.20 GiB,1990038936,2363718706,False,0.00137996
111,train,long,21d33146-cd1f-40bd-b26b-0c64fd1d603f/ep2,21d33146-cd1f-40bd-b26b-0c64fd1d603f,ep2,1.85 GiB,2.21 GiB,1990013872,2374707510,True,0.00145494
112,train,long,48b299c1-6c08-40a5-9b9d-9d170647a15a/ep1,48b299c1-6c08-40a5-9b9d-9d170647a15a,ep1,1.85 GiB,2.22 GiB,1990034848,2381579147,False,0.00146648
113,train,long,4ab31463-5a47-4904-82c4-d859a0506e04/ep4,4ab31463-5a47-4904-82c4-d859a0506e04,ep4,1.85 GiB,2.21 GiB,1990021560,2369185550,False,0.00148294
114,train,long,175a573b-7294-43b4-9c14-09c29ab3fef0/ep2,175a573b-7294-43b4-9c14-09c29ab3fef0,ep2,1.85 GiB,2.21 GiB,1989981736,2375022520,False,0.0014869
115,val,long,34e4d6f3-f2b4-4de1-b837-15a372512a90/ep2,34e4d6f3-f2b4-4de1-b837-15a372512a90,ep2,1.85 GiB,2.21 GiB,1990037776,2377549966,False,0.00149902
116,train,long,bdfae17b-1e56-4cc5-a4dc-f4fad8369aed/ep1,bdfae17b-1e56-4cc5-a4dc-f4fad8369aed,ep1,1.85 GiB,2.21 GiB,1990063928,2375884374,False,0.00152423
117,train,long,1a76d123-ed27-4c4a-a8d4-06f3aaeda454/ep1,1a76d123-ed27-4c4a-a8d4-06f3aaeda454,ep1,1.85 GiB,2.21 GiB,1990022952,2376083841,False,0.00153874
118,val,long,aed79382-cf3f-4b5c-89bb-46c322c19350/ep3,aed79382-cf3f-4b5c-89bb-46c322c19350,ep3,1.85 GiB,2.21 GiB,1990054104,2375391388,False,0.0015561
119,train,long,0073a4be-ec41-47f3-92d6-f63cf89aec9b/ep4,0073a4be-ec41-47f3-92d6-f63cf89aec9b,ep4,1.85 GiB,2.21 GiB,1990077792,2369241060,True,0.00155619
120,train,long,4a12e289-e4ed-405c-b198-96f704e94276/ep4,4a12e289-e4ed-405c-b198-96f704e94276,ep4,1.85 GiB,2.21 GiB,1990061128,2370545689,False,0.00156607
121,test,long,1796b943-caad-43c6-b9bd-80b8d601f37d/ep1,1796b943-caad-43c6-b9bd-80b8d601f37d,ep1,1.85 GiB,2.20 GiB,1990037360,2366095438,False,0.00156651
122,train,long,a93a840b-2d22-4231-9504-87ec4d930aad/ep2,a93a840b-2d22-4231-9504-87ec4d930aad,ep2,1.85 GiB,2.21 GiB,1990052256,2371401218,False,0.00157363
123,train,long,b2bd37ae-1261-4a9c-82ee-6d50fec3550b/ep1,b2bd37ae-1261-4a9c-82ee-6d50fec3550b,ep1,1.85 GiB,2.21 GiB,1990064392,2375230348,False,0.00160525
124,val,long,b5d76a3d-f4a3-4950-ab9d-344caa247059/ep4,b5d76a3d-f4a3-4950-ab9d-344caa247059,ep4,1.85 GiB,2.21 GiB,1990012120,2371352875,False,0.00160638
125,train,long,4318ba68-cc33-455d-bac1-6f8b66558708/ep1,4318ba68-cc33-455d-bac1-6f8b66558708,ep1,1.85 GiB,2.22 GiB,1990014448,2382076965,False,0.00162055
126,train,long,373850be-6393-4d15-985d-283da6cbe3e7/ep2,373850be-6393-4d15-985d-283da6cbe3e7,ep2,1.85 GiB,2.20 GiB,1990003832,2363123735,False,0.00163272
127,test,long,b6579cb5-0a71-4ca6-8808-1e2700be05c7/ep3,b6579cb5-0a71-4ca6-8808-1e2700be05c7,ep3,1.85 GiB,2.21 GiB,1990036472,2373874306,False,0.00163865
128,train,long,37ee5802-66fb-4893-9173-fe97fe0e2000/ep2,37ee5802-66fb-4893-9173-fe97fe0e2000,ep2,1.85 GiB,2.21 GiB,1990022864,2375119624,False,0.00166234
